	Energy (keV)	Breast Thickness (cm)	Compression-Distance(cm)	Kerma(mGy/hist)	Error(mGy/Hist)
132	22.0	8.25	0	2.646723387615228e-12	5.211951327900281e-15
133	22.0	9.75	0	2.797253463700792e-12	3.302933280980185e-15
134	22.0	10.25	0	2.84521487649252e-12	8.917167165932058e-16
135	23.0	2.25	0	1.982996802650292e-12	6.306030956751337e-15
136	23.0	3.75	0	2.086003318707298e-12	4.52082431938041e-15
137	23.0	4.25	0	2.118727190777287e-12	3.826555315694522e-15
138	23.0	5.75	0	2.229248635980935e-12	4.110998032189394e-15
139	23.0	6.25	0	2.270073445578482e-12	4.764500604330902e-15
140	23.0	7.75	0	2.39287857887502e-12	6.603209857794916e-15
141	23.0	8.25	0	2.436335796323617e-12	5.6728628654019e-15
142	23.0	9.75	0	2.576467199988525e-12	1.367377558996478e-15
143	23.0	10.25	0	2.61666896230072e-12	5.137303829610529e-15
144	24.0	2.25	0	1.834457567678208e-12	2.594310206563886e-15
145	24.0	3.75	0	1.922549310609285e-12	3.49829122086606e-15
146	24.0	4.25	0	1.95476786619732e-12	4.727317537455629e-15
147	24.0	5.75	0	2.062457158029557e-12	4.423512674356867e-15
148	24.0	6.25	0	2.095875509557742e-12	3.375871660971685e-15
149	24.0	7.75	0	2.205396904341595e-12	1.11690552425848e-15
150	24.0	8.25	0	2.2503555202379e-12	2.261886778884656e-15
151	24.0	9.75	0	2.37343447686367e-12	4.183362146160206e-15
152	24.0	10.25	0	2.418398384032035e-12	1.307557264786663e-15
153	25.0	2.25	0	1.700319852441998e-12	5.105923780310495e-15
154	25.0	3.75	0	1.788784630053478e-12	6.277602244266325e-15
155	25.0	4.25	0	1.815811124930265e-12	3.395342395342787e-15
156	25.0	5.75	0	1.908993071585385e-12	3.999152852624822e-15
157	25.0	6.25	0	1.943320199090287e-12	2.469136829691213e-15
158	25.0	7.75	0	2.046525137849633e-12	6.546001984644311e-15
159	25.0	8.25	0	2.084841884489599e-12	3.077008158532559e-15
160	25.0	9.75	0	2.199794770045513e-12	4.923812969997932e-15
161	25.0	10.25	0	2.23988277000837e-12	3.176486842378348e-15
162	26.0	2.25	0	1.575289739243215e-12	4.514829629179031e-15
163	26.0	3.75	0	1.654050323892227e-12	2.247582128016013e-15
164	26.0	4.25	0	1.68049742447818e-12	7.637174842261802e-15
165	26.0	5.75	0	1.771888275540178e-12	3.445364445220278e-15
166	26.0	6.25	0	1.808036923452563e-12	7.869762972781916e-16
167	26.0	7.75	0	1.898913198306488e-12	3.674895426752555e-15
168	26.0	8.25	0	1.932074923139645e-12	6.044597490346035e-15
169	26.0	9.75	0	2.037275994284537e-12	7.022098667089192e-15
